FAMÍLIA;SUB-FAMÍLIA;CODIGO SINAPI;DESCRIÇÃO;FABRICANTE DE REFERÊNCIA;UN.;PREÇO MÉDIO R$;DATA DE ATUALIZAÇÃO;FONTE DO PREÇO MÉDIO
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Compressão Para Condutores Flexíveis - Curto 1F 1C - M8 - 25mm;TF-25-8 - Intelli;un.;;;-
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Compressão Para Condutores Flexíveis - Curto 1F 1C - M8 - 35mm;TF-35 - Intelli;un.;3,06;09/12/2025;https://www.eletrotrafo.com.br/terminal-de-compressao-10-mm-1f-1c-tf-10-intelli-02140018/p?skuId=2650
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Compressão Para Condutores Flexíveis - Curto 1F 1C - M8 - 50mm;TF-50-8 - Intelli;un.;;;-
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Compressão Para Condutores Flexíveis - Curto 1F 1C - M8 - 70mm;TF-70-8 - Intelli;un.;;;-
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Compressão Para Condutores Flexíveis - Curto 1F 1C - M8 - 95 mm;TF-95-8 - Intelli;un.;;;-
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Compressão Para Condutores Flexíveis - Curto 2 Furos - M12 - 120mm;TF-120-2 - Intelli;un.;;;-
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Compressão Para Condutores Flexíveis - Curto 2 Furos - M12 - 150mm;TF-150-2 - Intelli;un.;;;-
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Compressão Para Condutores Flexíveis - Curto 2 Furos - M12 - 185mm;TF-185-2 - Intelli;un.;;;-
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Compressão Para Condutores Flexíveis - Curto 2 Furos - M12 - 240mm;TF-240-2 - Intelli;un.;;;-
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Compressão Para Condutores Flexíveis - Curto 2 Furos - M12 - 300mm;TF-300-2 - Intelli;un.;;;-
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Compressão Para Condutores Flexíveis - Curto 2 Furos - M12 - 400mm;TF-400-2 - Intelli;un.;;;-
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Compressão Para Condutores Flexíveis - Curto 2 Furos - M12 - 70mm;TF-70-2 - Intelli;un.;19,77;09/12/2025;https://www.eletrotrafo.com.br/terminal-de-compressao-70mm-2-furos-tf-70-2-intelli-02010115/p?skuId=6856
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Compressão Para Condutores Flexíveis - Curto 2 Furos - M12 - 95mm;TF-95-2 - Intelli;un.;;;-
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Compressão Para Condutores Flexíveis - Curto 2 Furos - M6 - 10mm;TF-10-2 - Intelli;un.;;;-
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Compressão Para Condutores Flexíveis - Curto 2 Furos - M6 - 16mm;TF-16-2 - Intelli;un.;;;-
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Compressão Para Condutores Flexíveis - Curto 2 Furos - M6 - 25mm;TF-25-2 - Intelli;un.;;;-
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Compressão Para Condutores Flexíveis - Curto 2 Furos - M8 - 35mm;TF-35-2 - Intelli;un.;;;-
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Compressão Para Condutores Flexíveis - Curto 2 Furos - M8 - 50mm;TF-50-2 - Intelli;un.;;;-
